Name,Predominant Degree,Highest Degree,Control,Region,Locale,Admission Rate,ACT Median,SAT Average,UndergradPopulation,% White,% Black,% Hispanic,% Asian,% American Indian,% Pacific Islander,% Biracial,% Nonresident Aliens,% Part-time Undergrads,Average Cost,Expenditure Per Student,Average Faculty Salary,% Full-time Faculty,% Undergrads with Pell Grant,Completion Rate 150% time,Retention Rate (First Time Students),% Undergrads 25+ y.o.,3 Year Default Rate,Median Debt,Median Debt on Graduation,Median Debt on Withdrawal,% Federal Loans,% Pell Grant Recipients,Average Age of Entry,Average Family Income,Median Family Income,Poverty Rate,Number of Unemployed 8 years after entry,Number of Employed 8 years after entry,Mean Earnings 8 years After Entry,Median Earnings 8 years After Entry
Dominican College of Blauvelt,3,4,Private,Mid-Atlantic,Large Suburb,0.7189,21,899,1505,0.2532,0.1349,0.2698,0.0645,0.0013,0,0.0199,0,0.1495,35825,7242,7601,0.3455,0.4339,0.3565,0.6689,0.201,7.1,19000,29250,10250,0.980000019,0.50999999,22.80999947,65972.18,50370,9.539999962,53,533,47500,43700
Dominican University,3,4,Private,Great Lakes,Large Suburb,0.5997,22,1031,2020,0.4436,0.0673,0.4045,0.0312,0.001,0.002,0.0119,0.0282,0.0693,36307,9940,6685,0.4464,0.4401,0.6311,0.8247,0.1049,5.8,18656,25000,11000,0.959999979,0.479999989,21.60000038,70505.27,58497.5,6.929999828,39,439,41700,40100
Dominican University of California,3,4,Private,Far West,Small City,0.7752,23,1057,1567,0.328,0.0421,0.2253,0.1698,0.0057,0.0102,0.0325,0.0179,0.1774,56165,14357,8770,0.2969,0.3232,0.5387,0.8566,0.2127,4.7,25222,27000,14000,0.959999979,0.439999998,25.20000076,73265.64,54367,6.940000057,85,613,54600,48700
Dordt College,3,4,Private,Great Plains,Remote Town,0.7542,25,1119,1338,0.8371,0.0179,0.0157,0.0082,0.0015,0.0306,0,0.0845,0.0045,37080,8671,5959,1,0.3106,0.623,0.8041,0.0254,1.4,19500,24000,8110,0.970000029,0.5,19.67000008,82944.11,74121,5.170000076,47,470,38400,35600
Dowling College,3,4,Private,Mid-Atlantic,Large Suburb,0.7828,0,0,1708,0.4473,0.0937,0.0697,0.007,0.0018,0.0035,0,0.0463,0.1569,39399,9924,8003,0.1936,0.3024,0.3408,0.6203,0.1404,7.4,19250,25000,12500,0.949999988,0.519999981,21.60000038,69754.83,51876,6.150000095,130,1064,42200,37800
Drake University,3,4,Private,Great Plains,Mid-size City,0.6595,28,1240,3310,0.7937,0.0323,0.0326,0.0447,0.0018,0.0006,0.013,0.0695,0.0402,42477,9273,9108,0.6646,0.1715,0.727,0.875,0.0476,2.9,21500,25000,12000,0.980000019,0.310000002,20.27000046,97812.93,88132.5,4.710000038,54,1071,60300,48000
Drew University,3,4,Private,Mid-Atlantic,Large Suburb,0.7743,25,1109,1453,0.5616,0.1074,0.1438,0.0475,0.0007,0.0007,0.0262,0.0323,0.0206,56932,13206,8538,0.6133,0.2928,0.6881,0.7569,0.0221,2.3,25000,27000,9500,0.980000019,0.340000004,19.39999962,108375.38,94248,4.920000076,33,368,45600,40900
Drexel University,3,4,Private,Mid-Atlantic,Large City,0.815,27,1197,16257,0.5657,0.064,0.0564,0.1257,0.0015,0.0063,0.0263,0.1273,0.1446,53831,13309,10246,0.5358,0.2021,0.6951,0.8644,0.1823,3.5,17027.5,26098,10873,0.980000019,0.300000012,22.21999931,84469.63,69348,6.46999979,316,3828,64000,58400
Drury University,3,4,Private,Great Plains,Mid-size City,0.8095,25,1146,4001,0.847,0.0392,0.0365,0.0142,0.0107,0.0017,0.0117,0.0387,0.2607,32556,6799,7024,0.9708,0.9259,0.5741,0.8444,0.4479,17.1,16000,23500,10000,0.860000014,0.699999988,26.15999985,44503.69,31562.5,10.21000004,246,1366,32200,29300
Duke University,3,4,Private,Southeast,Mid-size City,0.1342,32,1444,6501,0.4861,0.1001,0.0611,0.2124,0.0062,0.0005,0.0174,0.0892,0.0009,59528,51653,14288,0.94,0.1366,0.9423,0.972,0.0038,1.1,6569,6500,7000,0.959999979,0.239999995,21.30999947,92670.02,73265,6.349999905,107,1107,96500,69400
Duquesne University,3,4,Private,Mid-Atlantic,Large City,0.7409,25,1122,5944,0.8383,0.0421,0.0269,0.0185,0.0013,0.001,0.0217,0.0387,0.035,42280,10729,8863,0.4849,0.2023,0.7688,0.8761,0.0536,2.8,25500,27000,12000,0.980000019,0.330000013,20.95999908,90458.69,81511,6.449999809,124,2209,59700,51600
D'Youville College,3,4,Private,Mid-Atlantic,Large City,0.7908,23,1047,1855,0.7181,0.0873,0.048,0.0275,0.0075,0,0.0178,0.0668,0.1299,32741,8975,6071,0.5761,0.3558,0.4112,0.7875,0.3099,8.2,20325,26000,12500,0.980000019,0.540000021,24.39999962,51654.16,37451,12.10999966,48,440,50600,45500
Earlham College,3,4,Private,Great Lakes,Distant Town,0.637,29,1262,1016,0.5354,0.1348,0.0581,0.0374,0.0089,0,0.003,0.1969,0.0059,50930,19527,7391,0.9434,0.2576,0.71,0.8776,0.0122,3.7,21197,27000,11000,0.970000029,0.379999995,19.86000061,94178.23,79944,7.110000134,36,268,31700,29900
East Carolina University,3,4,Public,Southeast,Small City,0.6217,23,1050,20625,0.7097,0.1562,0.051,0.026,0.0056,0.0011,0.0291,0.0042,0.1094,19851,11838,7975,0.8428,0.3211,0.5631,0.8088,0.1535,6.7,18500,23775.5,11000,0.949999988,0.540000021,21.70999908,65286.33,53731,9.399999619,452,4856,38900,35900
East Central University,3,4,Public,Southwest,Remote Town,0.9814,21,969,3757,0.5882,0.0389,0.0482,0.0043,0.1584,0.0013,0.0854,0.0583,0.1853,13735,7061,5225,1,0.4848,0.3384,0.6252,0.2643,16.9,12449,19500,9287,0.769999981,0.790000021,24.18000031,37633.71,27762,12.89999962,234,1405,36000,33100
East Stroudsburg University of Pennsylvania,3,4,Public,Mid-Atlantic,Small City,0.7844,20,946,6109,0.6323,0.0927,0.101,0.0144,0.0021,0.0025,0.0201,0.0054,0.1062,20282,7595,9215,0.814,0.3029,0.5604,0.7128,0.0863,5.1,16750,23955,12000,0.959999979,0.379999995,20.85000038,81363.98,76873.5,5.289999962,143,1906,40000,38100
East Tennessee State University,3,4,Public,Southeast,Small City,0.8649,22,1026,11399,0.8495,0.0601,0.0199,0.0118,0.0033,0.0009,0.0242,0.0229,0.1506,22485,12462,6711,0.6949,0.4367,0.4129,0.6619,0.2441,12.4,14250,20259,10500,0.860000014,0.649999976,23.03000069,49111.05,36276,10.48999977,399,2596,35200,30900
East Texas Baptist University,3,4,Private,Southwest,Distant Town,0.7362,20,957,1132,0.6422,0.1926,0.1016,0.0035,0.0062,0.0027,0.0327,0.0097,0.0601,30172,7590,6153,0.7653,0.4601,0.3333,0.5714,0.0928,12.5,11411,23321,9000,0.930000007,0.589999974,20.82999992,63936.79,52871,10.82999992,73,578,38400,37500
Eastern Connecticut State University,3,4,Public,New England,Fringe Town,0.6453,22,1017,4920,0.7024,0.0648,0.0872,0.0217,0.002,0.001,0.0248,0.0112,0.1069,22633,8554,8091,1,0.2644,0.508,0.781,0.1056,5.8,17500,23000,10247.5,0.949999988,0.400000006,21.11000061,81834.42,76549,4.880000114,99,1364,40600,39500
Eastern Illinois University,3,4,Public,Great Lakes,Remote Town,0.6191,22,1010,8255,0.707,0.181,0.0491,0.0082,0.0019,0.0006,0.0187,0.0084,0.1137,23346,12690,7773,0.817,0.3923,0.6033,0.7707,0.1389,6.2,18750,23767,11467,0.939999998,0.479999989,21.32999992,75174.62,69586,6.03000021,202,3323,38000,36000
Eastern Kentucky University,3,4,Public,Southeast,Distant Town,0.6002,22,1009,13247,0.849,0.0551,0.0181,0.0103,0.0034,0.001,0.0215,0.0201,0.173,17801,8413,6910,0.7905,0.4278,0.3888,0.7149,0.254,12.8,14921.5,23179.5,9766.5,0.889999986,0.629999995,22.37000084,53226.68,40016,13.73999977,505,3561,34900,31900
Eastern Mennonite University,3,4,Private,Southeast,Small City,0.6505,22,999,1148,0.7779,0.0575,0.074,0.0174,0,0,0.0148,0.0314,0.0226,38009,11464,5903,1,0.3052,0.6355,0.7742,0.2399,4.3,14926,22348,10749,0.980000019,0.430000007,22.87000084,77305.35,66842,6.489999771,36,434,38500,34900
Eastern Michigan University,3,4,Public,Great Lakes,Large Suburb,0.6398,22,1011,18543,0.6461,0.2088,0.0363,0.0225,0.003,0.0006,0.0303,0.0209,0.2789,18905,8307,8853,1,0.447,0.3844,0.7381,0.2681,12.9,19114.5,26000,14000,0.959999979,0.550000012,22.51000023,64529.91,52069,6.900000095,562,4223,36800,33800
Eastern New Mexico University-Main Campus,3,4,Public,Southwest,Remote Town,0.6321,20,932,3767,0.4794,0.051,0.3472,0.0109,0.025,0.0048,0.0271,0.0313,0.271,15021,5613,5960,0.5205,0.4102,0.2875,0.5812,0.2728,20,9436,16166,7500,0.560000002,0.860000014,24,32978.68,24637,15.31999969,421,2019,30000,26100
Eastern Oregon University,3,4,Public,Far West,Remote Town,0.67,0,935,3422,0.7916,0.0286,0.0634,0.0222,0.0248,0.014,0.0073,0.0114,0.377,18959,6622,6057,0.8714,0.5105,0.2325,0.6378,0.4875,8.4,14820,22500,12175.5,0.910000026,0.680000007,25.95999908,47863.56,38491,8.930000305,179,1096,37900,35100
Eastern University,3,4,Private,Mid-Atlantic,Large Suburb,0.6409,21,1041,2458,0.5395,0.2111,0.1513,0.0199,0.0053,0.0008,0.0037,0.0199,0.1558,39764,7909,6289,0.3358,0.4091,0.5466,0.8033,0.2979,8.9,20927,26181.5,14311.5,0.980000019,0.360000014,24.75,76532.53,70417,7.650000095,108,868,43500,37900
Eastern Washington University,3,4,Public,Far West,Fringe Town,0.7967,21,970,11672,0.6625,0.0351,0.1192,0.0298,0.0118,0.0029,0.0428,0.0279,0.1678,19831,6495,7287,0.6404,0.3871,0.4524,0.7479,0.2113,6.3,15265,20500,11666,0.910000026,0.579999983,22.86000061,55129.84,43755.5,8.899999619,359,2794,40000,37700
Eckerd College,3,3,Private,Southeast,Mid-size City,0.7104,26,1138,2163,0.7614,0.0559,0.0791,0.0148,0.006,0.0018,0.0273,0.0393,0.1026,49802,11371,7433,0.6907,0.2341,0.6617,0.8321,0.1859,9.4,23000,27000,20500,0.959999979,0.349999994,24.62000084,88787.07,71700,6.139999866,94,676,42100,36000
Edgewood College,3,4,Private,Great Lakes,Mid-size City,0.7656,23,1050,1914,0.803,0.0287,0.0538,0.0204,0.0037,0.001,0.0334,0.0361,0.1301,35645,7703,5576,0.5219,0.3353,0.5662,0.8176,0.2222,4.2,20568,26975,12000,0.970000029,0.409999996,22.5,74441.92,63152,4.170000076,53,728,43200,40300
Edinboro University of Pennsylvania,3,4,Public,Mid-Atlantic,Fringe Town,0.8735,20,930,5756,0.8433,0.0711,0.0297,0.0082,0.0019,0.0005,0.0226,0.017,0.0764,19886,8518,8925,0.8479,0.4558,0.4175,0.723,0.133,10.5,18750,27000,10250,0.959999979,0.579999983,21.95000076,58219.63,51587,7.869999886,252,2582,33600,30900
Elizabeth City State University,3,4,Public,Southeast,Distant Town,0.5715,17,849,2276,0.1428,0.7469,0.0066,0.0035,0.0053,0.0004,0.0062,0.0004,0.0655,10620,8556,7545,0.9763,0.7029,0.4159,0.7247,0.1926,22.9,18137,24886,12692,0.860000014,0.839999974,21.97999954,36585.54,26308,13.51000023,82,721,27100,25100
Elizabethtown College,3,4,Private,Mid-Atlantic,Large Suburb,0.6957,25,1117,1808,0.88,0.0249,0.031,0.0171,0.0039,0.0011,0.0105,0.0315,0.0066,47390,13704,8137,0.6116,0.2175,0.7741,0.8167,0.0065,3.6,23872.5,27000,7052,0.99000001,0.289999992,21.25,97288.84,90303,4.610000134,41,713,45800,44400
Elmhurst College,3,4,Private,Great Lakes,Large Suburb,0.718,24,1084,2819,0.7251,0.0454,0.1281,0.0465,0.0025,0.0014,0.0287,0.0025,0.0355,41472,8096,7596,0.4669,0.3198,0.7402,0.7821,0.1069,2.1,18791.5,23250,9500,0.949999988,0.449999988,22.21999931,78522.59,67472.5,4.420000076,58,848,45700,42700
Elmira College,3,4,Private,Mid-Atlantic,Small City,0.7978,24,1060,1315,0.7027,0.035,0.0335,0.0076,0.0053,0,0.0228,0.0319,0.1224,50608,8417,4676,0.5251,0.3478,0.6265,0.736,0.1094,7.1,21500,27000,8252,0.99000001,0.409999996,20.93000031,83550.66,73671,6.590000153,42,550,40600,37600
Elon University,3,4,Private,Southeast,Mid-size Suburb,0.5398,25,1200,5599,0.8162,0.0632,0.0463,0.0191,0.0034,0.0009,0.0163,0.0177,0.0241,41679,14745,8485,0.7118,0.0911,0.8165,0.8989,0.0061,2.4,20500,24500,19000,0.980000019,0.25,19.53000069,118353.3,104953,4.829999924,46,939,47500,43600
Embry-Riddle Aeronautical University-Daytona Beach,3,4,Private,Southeast,Small City,0.7405,24,1105,4666,0.5332,0.0574,0.0705,0.0463,0.0047,0.0024,0.0437,0.1595,0.0667,45648,16386,8505,0.8602,0.3103,0.569,0.778,0.1423,4.6,16500,26000,11750,0.910000026,0.479999989,23.22999954,71628,52839,7.300000191,226,2940,59200,53800
Embry-Riddle Aeronautical University-Prescott,3,4,Private,Southwest,Fringe Rural,0.7898,26,1171,1802,0.6016,0.0172,0.0755,0.0494,0.0055,0.0061,0.076,0.0855,0.0638,45228,18433,8387,0.7018,0.2884,0.5915,0.828,0.1166,4.6,16500,26000,11750,0.910000026,0.479999989,23.22999954,71628,52839,7.300000191,226,2940,59200,53800
Embry-Riddle Aeronautical University-Worldwide,3,4,Private,Southeast,Small City,0.9944,0,0,9689,0.4981,0.0791,0.0689,0.0235,0.0053,0.0065,0.0448,0.0206,0.7012,20932,4047,5326,0.4133,0.2531,0.5,0.617,0.8851,4.6,16500,26000,11750,0.910000026,0.479999989,23.22999954,71628,52839,7.300000191,226,2940,59200,53800
Emerson College,3,4,Private,New England,Large City,0.4798,28,1240,3720,0.6465,0.0296,0.1022,0.0387,0.0005,0.0008,0.0457,0.0465,0.0142,51158,9283,9204,0.4357,0.1702,0.8147,0.8811,0.0194,2.5,21500,23312,8750,0.99000001,0.25999999,19.67000008,108523.09,94808,5.420000076,95,1038,42600,38900
Emmanuel College,3,4,Private,New England,Large City,0.6049,24,1090,2040,0.701,0.0544,0.0569,0.0299,0.0029,0.0015,0.023,0.0127,0.0897,49487,7555,8155,0.447,0.2337,0.5808,0.8101,0.0855,5.6,24250,27000,11250,0.99000001,0.349999994,20.63999939,91299.92,81534,6.019999981,32,579,43800,42200
Emory University,3,4,Private,Southeast,Large Suburb,0.2633,31,1363,7705,0.4048,0.0924,0.0623,0.2204,0.0014,0.0001,0.0278,0.1508,0.0127,58180,33796,12133,0.6792,0.2192,0.8961,0.9438,0.031,2.4,19000,19500,12000,0.970000029,0.319999993,21.20000076,95403.45,64962,6.059999943,104,1047,72500,56900
Emporia State University,3,4,Public,Great Plains,Remote Town,0.6069,22,1030,3724,0.724,0.0569,0.0653,0.0064,0.0035,0.0008,0.0534,0.0752,0.0913,15612,7795,6268,0.9122,0.3909,0.4054,0.7304,0.1727,8.4,14000,21000,9500,0.939999998,0.560000002,21.84000015,60261.55,54559,6.880000114,159,1617,35100,33200
Endicott College,3,4,Private,New England,Large Suburb,0.7165,23,1070,2621,0.8214,0.021,0.0362,0.0095,0.0023,0.0008,0.0187,0.0156,0.0771,44177,5860,8415,0.2717,0.1575,0.7129,0.8069,0.0892,2.8,23250,27000,6500,0.99000001,0.239999995,19.87000084,112351.07,109499.5,4.110000134,36,744,45500,43800
Evangel University,3,4,Private,Great Plains,Mid-size City,0.6425,23,1046,2071,0.705,0.0435,0.0526,0.0145,0.0101,0,0.0309,0.0063,0.0893,30988,6543,6433,0.5895,0.4662,0.5291,0.727,0.1305,7,16000,22975,10803.5,0.959999979,0.529999971,21.57999992,67444.26,58776,7.329999924,94,755,35900,32400
Everglades University,3,4,Private,Southeast,Small City,0.9104,0,0,1184,0.6242,0.1385,0.1655,0.016,0.011,0.0034,0.027,0.0084,0,27322,3681,2635,0.3761,0.5563,0.6197,0.717,0.7829,13.9,27332,44974,10500,0.980000019,0.629999995,31.95000076,44637.68,31989,7.980000019,47,267,45900,41000
Fairfield University,3,4,Private,New England,Large Suburb,0.7116,0,0,3721,0.7162,0.0271,0.0785,0.0215,0.0011,0.0008,0.0121,0.0175,0.0484,56628,10775,10214,0.9962,0.1531,0.8207,0.8697,0.0604,0.9,24000,26778,6750,0.980000019,0.200000003,19.96999931,131692.71,116850,4.190000057,41,852,66100,60200
Fairleigh Dickinson University-College at Florham,3,4,Private,Mid-Atlantic,Large Suburb,0.7774,0,1020,2242,0.6021,0.1124,0.1387,0.0375,0.0071,0.0009,0.0165,0.0058,0.058,51159,11322,8250,0.3457,0.3273,0.5423,0.7314,0.0576,4.3,18750,25000,11000,0.959999979,0.469999999,22.43000031,76470.17,57373,6.340000153,197,1777,46000,42700
Fairleigh Dickinson University-Metropolitan Campus,3,4,Private,Mid-Atlantic,Large Suburb,0.7341,0,985,3915,0.2656,0.139,0.352,0.0462,0.0013,0.0026,0.0105,0.0746,0.3172,43227,7217,8296,0.2433,0.2527,0.465,0.7208,0.2313,4.3,18750,25000,11000,0.959999979,0.469999999,22.43000031,76470.17,57373,6.340000153,197,1777,46000,42700
Fairmont State University,3,4,Public,Southeast,Distant Town,0.6649,21,965,3856,0.8615,0.0516,0.0184,0.0036,0.0026,0.0013,0.0226,0.0244,0.1154,14710,6107,6656,0.9405,0.4803,0.3513,0.6117,0.2642,17,14210,23478,10500,0.889999986,0.699999988,23.06999969,45075.59,36183,12.81999969,314,2070,33400,29400
Farmingdale State College,3,3,Public,Mid-Atlantic,Large Suburb,0.5264,21,969,7455,0.6145,0.1057,0.1543,0.0699,0.002,0.0048,0.0168,0.0276,0.2072,15258,9540,7951,0.3106,0.2708,0.4574,0.8234,0.2464,7.6,11000,15393,10000,0.779999971,0.569999993,22.84000015,60549.91,44234,6.139999866,167,1322,47900,44200
Fayetteville State University,3,4,Public,Southeast,Mid-size City,0.5496,18,851,5077,0.1656,0.6715,0.0605,0.0124,0.0207,0.0006,0.0047,0.0079,0.2316,13188,8010,8064,0.8166,0.5873,0.3215,0.7133,0.4333,13.2,17003.5,21232,13043,0.879999995,0.829999983,23.79000092,35071.6,26610.5,11.98999977,216,1329,30000,26700
Felician College,3,4,Private,Mid-Atlantic,Large Suburb,0.8819,19,877,1618,0.3838,0.1978,0.2417,0.0797,0.0056,0.008,0.0241,0.0235,0.1724,41750,8805,6612,0.5749,0.4699,0.4592,0.7588,0.3831,5.8,20834,25000,16067.5,0.930000007,0.519999981,25.38999939,64996.12,48610,7.210000038,68,455,43400,39800
Ferris State University,3,4,Public,Great Lakes,Remote Town,0.759,22,1010,12646,0.7919,0.0744,0.0342,0.0141,0.0062,0.0005,0.0272,0.0214,0.2749,21498,8696,7942,0.6112,0.4123,0.4319,0.7665,0.2387,9.5,17562,25522,11250,0.970000029,0.519999981,21.87000084,67189.85,59172,6.820000172,335,3980,42400,38400
Ferrum College,3,3,Private,Southeast,Distant Rural,0.7411,17,868,1506,0.5193,0.3187,0.0491,0.0033,0.004,0.0027,0.0518,0.0093,0.0093,38620,6349,5887,1,0.5689,0.3181,0.4927,0.0205,12.8,11250,30920,10250,0.959999979,0.550000012,20.61000061,63285.28,52888,7.460000038,42,519,33800,32400
Fitchburg State University,3,4,Public,New England,Mid-size Suburb,0.7211,20,987,4148,0.7635,0.055,0.0875,0.0188,0.001,0,0.0248,0.0053,0.177,17686,7938,8371,0.5562,0.3416,0.5029,0.7808,0.1736,7.8,15529.5,21750,8750,0.939999998,0.419999987,21.27000046,75368.32,70609.5,6.090000153,96,1038,40000,38700
Flagler College-St Augustine,3,3,Private,Southeast,Small Suburb,0.4987,23,1096,2839,0.7584,0.0395,0.0814,0.006,0.0039,0.0007,0.0257,0.0335,0.0328,28305,5796,6087,0.424,0.2922,0.6309,0.6687,0.1011,6,16500,23638,7500,0.939999998,0.449999988,21.80999947,72203.48,61140,7.170000076,89,851,34300,33800
